A(deg)				B(deg)				C(deg)				A( , )				B( , )				C( , )
90.00000000000001		29.999999999999993		59.99999999999999		( 0.24999999999999994 , 0.4330127018922193 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
36.3907231505416		29.910317658695313		113.69895919076313		( 0.8378128334657758 , -0.7695970989221658 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
38.328008132377484		15.95983896302303		125.71215290459949		( 0.758802927580748 , -0.3600012252964763 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
122.18458837243945		53.730592753586116		4.084818873974451		( -0.45020856194627035 , 0.0678587399516003 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
88.75188070908352		27.161037809638653		64.08708148127785		( 0.3004631161978966 , 0.4106943024840778 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
98.37442792368515		14.534003557246088		67.09156851906876		( 0.4012607499451472 , -0.23365261460542713 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
109.11935002259688		34.474075951344446		36.40657402605867		( 0.01784541218223302 , -0.35556041932230975 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
105.2708367495569		69.68914220155051		5.040021048892548		( -0.4683894286716173 , 0.085404735263928 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
88.4215493215711		32.94018316221111		58.63826751621779		( 0.21689678110254673 , -0.464494852849507 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
123.92146057310765		40.58917932553153		15.4893601013608		( -0.25560066810458226 , -0.2093955110051072 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
26.868607287080884		128.40244360688328		24.72894910603582		( -1.0749719394024115 , 0.725370491541016 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
45.56140731073294		8.557120373759776		125.88147231550725		( 0.622143323830572 , -0.16884930921267882 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
146.62268463190892		29.48717023782572		3.8901451302654224		( -0.39265545377390626 , -0.06070089525939179 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
61.97806414959216		65.77540279377108		52.24653305663678		( -0.1325010307860946 , 0.8167842974387041 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
106.63697306254238		31.78654072636868		41.576486211088955		( 0.08873281788643332 , -0.36483837555546805 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
33.04192909417993		93.96222233206029		52.99584857375978		( -0.6012038739852887 , -1.4611266187482634 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
94.61907744803983		46.41877018102561		38.962152370934575		( -0.06509916952832934 , 0.4569905480454408 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
26.542192696477937		22.11903108874369		131.33877621477836		( 1.0565612334637962 , 0.6326563228141626 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
58.038223965268976		102.72905147191398		19.23272456281708		( -0.5855509879776454 , -0.378724190790547 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
50.9039266723803		11.861943460792245		117.23412986682752		( 0.621206731550398 , -0.23549763518566394 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
44.6449890873512		12.963799150417353		122.39121176223144		( 0.67101723865263 , -0.26957143288082624 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
41.055287829717166		126.84255872687751		12.102153443405285		( -0.6914062639547418 , -0.255462208722798 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
117.57656248454784		60.13418413462774		2.2892533808243907		( -0.47755948045014573 , 0.039079195340942396 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
19.89361823590353		23.140970527078142		136.96541123701834		( 1.3441891677613118 , 0.788172461401574 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
104.57647817384834		24.617467870907056		50.80605395524462		( 0.22800236000495744 , -0.3335740116855081 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
